# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
8.500000000000001164e+05,2.520000000000000000e+03,1.005360908897934678e+04,-4.698922486199779591e+00,5.907047438632159810e+02
8.500000000000001164e+05,2.560000000000000000e+03,1.004552270578650678e+04,-4.693995515490012593e+00,5.951446222814328166e+02
8.500000000000001164e+05,2.600000000000000000e+03,1.003735109742201894e+04,-4.689112963228419417e+00,5.995997772211129586e+02
8.500000000000001164e+05,2.640000000000000000e+03,1.002909428015421690e+04,-4.684274312638105009e+00,6.040691614462804182e+02
8.500000000000001164e+05,2.680000000000000000e+03,1.002075228059387518e+04,-4.679479014143799631e+00,6.085518028345194352e+02
8.500000000000001164e+05,2.720000000000000000e+03,1.001232513507636759e+04,-4.674726716426954809e+00,6.130467768857394049e+02
8.500000000000001164e+05,2.760000000000000000e+03,1.000381288912671698e+04,-4.670016790662136152e+00,6.175532601236401433e+02
8.500000000000001164e+05,2.800000000000000000e+03,9.995215596794656449e+03,-4.665348680384577840e+00,6.220704810485375447e+02
8.500000000000001164e+05,2.840000000000000000e+03,9.986533320102980724e+03,-4.660721949151937160e+00,6.265977180830609541e+02
8.500000000000001164e+05,2.880000000000000000e+03,9.977766128507668327e+03,-4.656135931116666349e+00,6.311343446481499768e+02
8.500000000000001164e+05,2.920000000000000000e+03,9.968914098353661757e+03,-4.651590099708534431e+00,6.356797654737409857e+02
8.500000000000001164e+05,2.960000000000000000e+03,9.959977312321825593e+03,-4.647083845818835712e+00,6.402334648927409262e+02
8.500000000000001164e+05,3.000000000000000000e+03,9.950955858987053944e+03,-4.642616540624032062e+00,6.447949713870226560e+02
8.500000000000001164e+05,3.040000000000000000e+03,9.941849832332180085e+03,-4.638187699611018289e+00,6.493638560394522301e+02
8.500000000000001164e+05,3.080000000000000000e+03,9.932659331232622208e+03,-4.633796622741127358e+00,6.539397653339218550e+02
8.500000000000001164e+05,3.120000000000000000e+03,9.923384459151988267e+03,-4.629442689151130885e+00,6.585223866839694438e+02
8.500000000000001164e+05,3.160000000000000000e+03,9.914025323554420538e+03,-4.625125341414570990e+00,6.631114444276341828e+02
8.500000000000001164e+05,3.200000000000000000e+03,9.904582035712310244e+03,-4.620843899331009474e+00,6.677067202251564595e+02
